locode,name,lat,lon
AUEVL,Evans Landing,-12.6667,141.85
AUEXM,Exmouth Gulf,50.5833,-3.4
AUFIN,Findon,-34.9,138.5333
AUFLD,Frankland,-34.3667,114.0667
AUFLN,Flynn,-38.1667,146.6833
AUFRE,Fremantle,59.4833,10.3667
AUFRY,Port Fairy,-38.3667,142.2333
AUFWT,Freshwater,-33.7667,151.2833
AUGBT,Garbutt,-19.2667,146.7667
AUGEE,George Town,13.2667,-61.1167
AUGEM,Gembrook,-37.95,145.55
AUGET,Geraldton,59.4667,17.3833
AUGEX,Geelong,51.1667,5.0
AUGLL,Glebe Island,0.8333,128.3167
AUGLT,Gladstone,42.8333,17.7
AUGOA,Goolwa,-35.5,138.7833
AUGOH,Gove Harbour,-12.2167,136.6667
AUGOR,Gordon,-37.5833,144.1
AUGOV,Gove,-12.2167,136.6667
AUGRB,Gravelly Beach,-41.3,146.9667
AUGRH,Greenhead,59.4833,10.3667
AUGRK,Greenock,-34.4667,138.9167
AUGRU,Gruyere,-37.7333,145.45
AUGRV,Griffin Venture (oil terminal),-21.2167,114.6333
AUGTW,Great Western,-37.15,142.85
AUGUM,Gumeracha,-34.8333,138.8833
AUGUR,The Gurdies,-38.3667,145.55
AUHAH,Hahndorf,-35.0333,138.8
AUHAM,Hampton,-38.3333,145.25
AUHAS,Hastings,-38.3,145.25
AUHBA,Hobart,-42.8667,147.3
AUHBE,Heatherbrae,-32.7833,151.7333
AUHDD,Hoddles Creek,-37.8333,145.5833
AUHFR,Henderson,-32.1667,115.7667
AUHNK,Hinchinbrook Island,-18.3833,146.2833
AUHPP,Happy Valley,-35.0833,138.5333
AUHPT,Hay Point,49.05,4.0
AUHTH,Heathcote,-36.9167,144.7167
AUHTT,Halletts Cove,-35.0667,138.5
AUHWD,Hanwood,-34.3333,146.0333
AUHYI,Hardy Island,-53.0833,73.7167
AUIGF,Ingle Farm,-34.8333,138.6333
AUIPS,Ipswich,42.7333,-71.85
AUIRY,Irymple,-34.25,142.1667
AUJML,Laurieton,-31.65,152.8
AUKAN,Kangarilla,-35.15,138.65
AUKAY,Kayena,-41.1833,146.8833
AUKEI,Keith,-36.1,140.35
AUKIB,King Bay,49.05,4.0
AUKIT,Kingston,13.1333,-61.2167
AUKJH,Welland,-34.9,138.5333
AUKLL,Maryknoll,-38.9167,145.6
AUKNG,Kensington Gardens,-35.5333,139.1
AUKRB,Karumba,-17.4833,140.8333
AUKTR,Katherine,50.6167,3.7667
AUKUR,Kurnell,51.2167,5.8
AULAB,Lady Barron,42.0833,19.0833
AULAN,Langarra,-12.0833,135.35
AULEN,Lakes Entrance,-37.8833,147.9833
AULKU,Torrensville,59.4833,10.3667
AULME,Bangholme,58.9,-2.9
AULMQ,Lake Macquarie,-33.0667,151.6
AULOW,Lisarow,-33.3833,151.3667
AULST,Launceston,42.8333,17.7
AULUB,Lucky Bay,-33.6833,136.9167
AULYD,Lilydale,-37.75,145.3667
AUMAR,Marrickville,-33.9167,151.1667
AUMBY,Maribyrnong,-37.7833,144.8833
AUMDC,Mordialloc,-38.0167,145.0833
